author;title;subtitle;title_without_sub;edition;genre;date;location;publishing-house;pages;genre-by-librarian;title_id
Guseck, Bernd;Der Welfenlegionär;"Erzählung aus der Geschichte der Gegenwart ;  Zeitroman";Der Welfenlegionär;4.-8. Tsd;;1914;berlin;janke;;;283
Gruenz, K.;"Der Weltpriester und ""Försters Lieschen""";Zeitroman [aus voller  Wahrheit];"Der Weltpriester und ""Försters Lieschen""";;;1858;berlin;;;;285
Grossmann, Julie;Eine gemischte Gesellschaft;Zeit-Roman;Eine gemischte Gesellschaft;;;1847;breslau;;;;286
Graf, Oskar Maria;Werkausgabe;Der Abgrund;Werkausgabe;;;1985;frankfurt am main;büchergilde gutenberg;;;291
Graf, Oskar Maria;Der Abgrund;E. Zeitroman;Der Abgrund;;;1936;moskau;verlagsgen. ausländischer arbeiter i. d. udssr;;;295
Goehring, Carl;Der Pietist;Ein religiöser Zeitroman in sechszehn Trakten;Der Pietist;;;1845;grimma;verl.-comptoir;;;299
Goedsche, Hermann O.;Des Cäsars Ende;;Des Cäsars Ende;[Mikrofiche-Ausg.];;1876;berlin;janke;;;301
Geißler, Rolf;Dekadenz und Heroismus. Zeitroman und völkisch-nationalistische  Literaturkritik;;Dekadenz und Heroismus. Zeitroman und völkisch-nationalistische  Literaturkritik;;;1964;s.l.;de gruyter;;;304
Geißler, Rolf;Dekadenz und Heroismus;Zeitroman und  völkisch-nationalsozialistische Literaturkritik;Dekadenz und Heroismus;;;1964;stuttgart;dt. verl.-anst;;;305
Geissler, Rolf;Dekadenz und Heroismus;Zeitroman und völkisch-nationalistische  Literaturkritik;Dekadenz und Heroismus;;;1964;münchen;oldenbourg wissenschaftsverlag;;;306
Fuhrmann, Otto;Von Eulenburg zu Zeppelin;Ein Zeitroman;Von Eulenburg zu Zeppelin;;;1909;berlin;walther;;;308
Friedrich, Friedrich;Die Frau des Ministers;;Die Frau des Ministers;;;1871;berlin;;;;309
Fliedl, Konstanze;Zeitroman und Heilsgeschichte;"Elisabeth Langgässers ""Märkische  Argonautenfahrt";Zeitroman und Heilsgeschichte;;;1986;wien;braumüller;;;312
Fischer-Markgraff, Elisabeth;Surrogate;Ein Zeitroman von E. Fischer-Markgraff;Surrogate;;;1910;berlin;taendler;;;313
Eschstruth, Mathilde;Meines Lebens Roman;Ein Zeitroman;Meines Lebens Roman;;;1887;berlin;schottlaender;;;314
Erbe-Lyck, Else;Notland;Ein Zeitroman in zwei Büchern;Notland;;;1928;burg an der wupper;nieder-rheinischer verl.;;;315
Erbe, Else;Notland;"Erbe, Else, Lyck ; Ein Zeitroman in 2 Büchern";Notland;;;1928;burg an d. wupper;nieder-rhein. verl.;;;316
Endrös, Anton;Brandfackeln im Bergdorf;Ein Zeitroman;Brandfackeln im Bergdorf;1. - 10. Tsd;;1943;pressburg;andree;;;317
Doemens, Karl Wilhelm;Die ’Andere’;"Doemens, Carl Wilhelm ; Ein Zeitroman aus d.  Rheinlande";Die ’Andere’;;;1920;köln & lpz;salm-verl.;;;318
Dinter, Artur;Die Sünde wider die Liebe. Ein Zeitroman von Artur Dinter;;Die Sünde wider die Liebe. Ein Zeitroman von Artur Dinter;;;1922;leipzig;matthes, thost;;;322
Dinter, Artur;Die Sünde wider die Liebe;Ein Zeitroman;Die Sünde wider die Liebe;1.-5. Aufl., 1.-25. Tsd;;1922;leipzig [u.a.];matthes & thost;;;323
Dinter, Artur;Die Sünden der Zeit;Die Sünde wider den Geist;Die Sünden der Zeit;11. Aufl., 51. - 55. Tsd;;1921;leipzig [u.a.];matthes & thost;;;324
Dinter, Artur;Die Sünde wider den Geist. Ein Zeitroman von Artur Dinter. 1.-10.  Aufl;;Die Sünde wider den Geist. Ein Zeitroman von Artur Dinter. 1.-10.  Aufl;;;1921;leipzig;matthes, thost;;;326
Dinter, Artur;Die Sünde wider den Geist;Ein Zeitroman;Die Sünde wider den Geist;12.-20. Aufl., 56.-100. Tsd;;1921;leipzig [u.a.];matthes & thost;;;327
Dinter, Artur;Die Sünde wider das Blut;Ein Zeitroman;Die Sünde wider das Blut;;;1918;leipzig;wolfverl.;;;342
Dernburg, Friedrich;Der Oberstolze;Ein Berliner Zeitroman;Der Oberstolze;;;1889;;;;;343
;"Der Zauberberg""";Zeitroman im doppelten Sinn der  Leitmotivtechnik;"Der Zauberberg""";;;2006;;;;;346
Dabei, Adalmar;Vom Cirkus zum Grafenschloss;Zeitroman aus unsern Tagen;Vom Cirkus zum Grafenschloss;[Mikrofiche-Ausg.];;1886;dresden;meinhold;;;347
Dabei, Adalmar;Ein zerschelltes Wappenschild;Zeitroman aus unsern Adelskreisen;Ein zerschelltes Wappenschild;[Mikrofiche-Ausg.];;1886;dresden [u.a.];minden;;;348
Crome-Schwiening, Carl;Von Friedrichscron bis Friedrichsruh;Zeitroman in 2 Bden;Von Friedrichscron bis Friedrichsruh;;;1896;;;;;349
Crome-Schwiening, Carl;"Und Bebel sprach! ; Von ... [Verf.";C. Crome-Schwiening.]  Zeitroman in 2 Bden;"Und Bebel sprach! ; Von ... [Verf.";;;1894;leipzig;a. bergmann;;;353
Crome-Schwiening, Carl;Und Bebel sprach!;Zeitroman in zwei Bänden;Und Bebel sprach!;;;1893;;;;;355
Brun-Barnow, Ida;Im Kampf mit Idealen;Zeitroman;Im Kampf mit Idealen;;;1903;dresden [u.a.];pierson;;;358
Brun-Barnow, Ida;Er und Sie;Zeitroman v. I. v. Brun-Barnow [d.i. Ida Brunsig Edle  v. Brun];Er und Sie;;;1899;breslau;s. schottlaender;;;359
Brausewetter, Artur;Und hätte der Liebe nicht ...’ . ein Zeitroman;;Und hätte der Liebe nicht ...’ . ein Zeitroman;1. - 10. Aufl.;;1926;breslau [u.a.];bergstadtverl.;;;360
Bracker, Jörgen;Genannt Claus Störtebeker;Ein historischer Zeitroman;Genannt Claus Störtebeker;Sonderauflage;;2017;norderstedt;books on demand;;;361
Bolanden, Conrad;Die Ultramontanen;Zeitroman;Die Ultramontanen;;;1890;;;;;362
Bohnagen, Alfred;Hausmann’s Kinder;Zeitroman von Alfred Bohnagen;Hausmann’s Kinder;;;1917;werdau i.s.;meister;;;367
Bierbaum, Otto Julius;Gesammelte Werke;;Gesammelte Werke;60. - 62. Tsd;;1922;münchen;müller;;;383
Bierbaum, Otto Julius;Prinz Kuckuck;"Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings ; in einem Zeitroman";Prinz Kuckuck;;;1907;;;;;402
Baitz, Josef;Ecce sacerdos;"Josef Baitz ; Ein Zeitroman";Ecce sacerdos;;;1909;dresden;pierson;;;411
Aellen, Hermann;Heimatfeinde;Ein Berner Volks- u. Zeitroman;Heimatfeinde;;;1914;bern;wyß;;;412
Bierbaum, Otto Julius (1865-1910);"Prinz Kuckuck : Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings; in einem Zeitroman";"Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings; in einem Zeitroman";"Prinz Kuckuck : Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings; in einem Zeitroman";[Einbändige Ausg.], 1. - 16. Tsd.;;1922;münchen;müller;;;413
Dabei, Adalmar;Ein zerschelltes Wappenschild : Zeitroman aus unsern Adelskreisen;Zeitroman aus unsern Adelskreisen;Ein zerschelltes Wappenschild : Zeitroman aus unsern Adelskreisen;[Mikrofiche-Ausg.];;1886;dresden [u.a.];minden;;;414
Dabei, Adalmar;Vom Cirkus zum Grafenschloss : Zeitroman aus unsern Tagen;Zeitroman aus unsern Tagen;Vom Cirkus zum Grafenschloss : Zeitroman aus unsern Tagen;[Mikrofiche-Ausg.];;1886;dresden;meinhold;;;415
Dinter, Artur (1876-1948);Die Sünde wider das Blut : ein Zeitroman;ein Zeitroman;Die Sünde wider das Blut : ein Zeitroman;251. - 260. Tsd.;;1934;leipzig;hammer-verl.;;;416
Dinter, Artur (1876-1948);Die Sünde wider den Geist : ein Zeitroman;ein Zeitroman;Die Sünde wider den Geist : ein Zeitroman;;;1921;"leipzig ; hartenstein";matthes & thost;;;417
Dinter, Artur (1876-1948);Die Sünde wider die Liebe : ein Zeitroman;ein Zeitroman;Die Sünde wider die Liebe : ein Zeitroman;1. - 5. Aufl.;;1922;"leipzig ; hartenstein";matthes & thost;;;419
Graf, Oskar Maria (1894-1967);Der Abgrund : ein Zeitroman;ein Zeitroman;Der Abgrund : ein Zeitroman;1. - 3. Tsd.;;1936;london;malik-verl.;;;421
Hanstein, Adalbert von (1861-1904);Die Aktien des Glücks : humoristisch-satirischer Zeitroman;humoristisch-satirischer Zeitroman;Die Aktien des Glücks : humoristisch-satirischer Zeitroman;;;1895;leipzig;tiefenbach;;;422
